tile,year
1177,1973
1178,1991
1198,1985
1197,1991
1217,1979
1237,1991
1236,1973
1256,1971
1255,1970
1276,1991
1275,1970
1254,1977
1253,1983
1233,1979
1232,1979
1212,1973
1192,1973
1193,1979
1194,1990
1174,1985
1175,1961
1115,1983
1173,1979
1153,1971
1231,1990
1251,1975
1211,1986
1191,1961
1210,1969
1230,1986
1250,1975
1249,1974
1229,1973
1209,1975
1248,1986
1268,1978
1267,1980
1266,1968
1286,1974
1285,1961
1305,1969
1269,1975
1270,1981
1290,1972
1289,1974
1309,1971
1329,1988
1349,1988
1348,1969
1328,1988
1308,1972
1347,1977
1327,1969
1307,1974
1346,1988
1326,1983
1366,1971
1365,1970
1345,1977
1344,1968
1324,1965
1304,1961
1271,1987
1272,1976
1252,1965
1274,1968
1296,1991
1278,1991
1199,1973
1219,1991
1258,1966
1257,1991
1277,1991
1218,1985
1179,1973
