tile,year
1177,2009
1178,2009
1198,2008
1197,2009
1217,2009
1237,2009
1236,2009
1256,2009
1255,2009
1276,2009
1275,2009
1254,2009
1253,2009
1233,2010
1232,2010
1212,2010
1192,2010
1193,2010
1194,2008
1174,2008
1175,2008
1115,2008
1173,2010
1153,2010
1231,2010
1251,2009
1211,2010
1191,2010
1210,2010
1230,2010
1250,2009
1249,2011
1229,2011
1209,2009
1248,2011
1268,2011
1267,2010
1266,2010
1286,2010
1285,2010
1305,2010
1269,2011
1270,2009
1290,2009
1289,2011
1309,2011
1329,2009
1349,2009
1348,2009
1328,2009
1308,2011
1347,2010
1327,2010
1307,2010
1346,2010
1326,2010
1366,2010
1365,2010
1345,2010
1344,2010
1324,2010
1304,2010
1271,2009
1272,2009
1252,2009
1274,2009
1296,2009
1278,2009
1199,2009
1219,2009
1258,2009
1257,2009
1277,2009
1218,2009
1179,2009
